measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,98,Chile,3,Both,22,All ages,561,Drug use disorders,1,Number,1990,11.26139291816321,12.493714128167294,10.10868659605707
1,Deaths,98,Chile,3,Both,22,All ages,561,Drug use disorders,2,Percent,1990,0.00014844661407778298,0.0001645716953011,0.00013315193848287388
1,Deaths,98,Chile,3,Both,22,All ages,561,Drug use disorders,3,Rate,1990,0.08479850029032425,0.09407790215861023,0.07611860002397978
1,Deaths,98,Chile,3,Both,22,All ages,854,Executions and police conflict,1,Number,1990,1.4809017418557116,1.5292162463918506,1.4316596661545629
1,Deaths,98,Chile,3,Both,22,All ages,854,Executions and police conflict,2,Percent,1990,1.9520840022949826e-05,2.013138415671585e-05,1.8914051277466755e-05
1,Deaths,98,Chile,3,Both,22,All ages,854,Executions and police conflict,3,Rate,1990,0.011151217944287495,0.011515027071338422,0.01078042418893371
1,Deaths,99,Uruguay,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1990,0.0,0.0,0.0
1,Deaths,99,Uruguay,3,Both,22,All ages,945,Conflict and terrorism,2,Percent,1990,0.0,0.0,0.0
1,Deaths,99,Uruguay,3,Both,22,All ages,945,Conflict and terrorism,3,Rate,1990,0.0,0.0,0.0
1,Deaths,98,Chile,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1990,8.000000000000005,8.802282831697996,7.263947668731309
1,Deaths,98,Chile,3,Both,22,All ages,945,Conflict and terrorism,2,Percent,1990,0.00010545540903616849,0.0001164617742858857,9.571904687862332e-05
1,Deaths,98,Chile,3,Both,22,All ages,945,Conflict and terrorism,3,Rate,1990,0.06024015033064357,0.06628135512929116,0.05469766244478763
1,Deaths,99,Uruguay,3,Both,22,All ages,561,Drug use disorders,1,Number,1990,2.583528197863751,2.847189178306424,2.34672401721934
1,Deaths,99,Uruguay,3,Both,22,All ages,561,Drug use disorders,2,Percent,1990,8.720470591319168e-05,9.561540698762142e-05,7.936540941909973e-05
1,Deaths,99,Uruguay,3,Both,22,All ages,561,Drug use disorders,3,Rate,1990,0.08229323118853658,0.09069163536965077,0.07475029776892234
1,Deaths,97,Argentina,3,Both,22,All ages,561,Drug use disorders,1,Number,1991,23.6317978160551,25.79797364044273,21.605197227423364
1,Deaths,97,Argentina,3,Both,22,All ages,561,Drug use disorders,2,Percent,1991,9.35286350672094e-05,0.00010198669767566418,8.546004196762744e-05
1,Deaths,97,Argentina,3,Both,22,All ages,561,Drug use disorders,3,Rate,1991,0.07049023645723329,0.07695162577926298,0.06444517988519509
